order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,2023-12-23,4,West,No,139.47,7.88,31.17,60,Female
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,No,24.73,4.6,-2.62,37,Male
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,2024-10-08,4,North,No,166.8,6.58,13.44,34,Male
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,No,63.67,5.5,2.14,21,Female
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,6,East,No,13.88,2.74,1.15,39,Male
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,2024-04-14,5,South,No,97.04,6.32,37.35,35,Female
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,5,East,No,266.5,9.1,22.88,49,Male
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,No,9.98,4.51,-0.02,66,Other
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,No,6.28,3.43,-1.23,37,Female
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,No,10.91,2.76,-1.89,56,Male
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,No,5.95,2.16,0.52,40,Female
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,No,16.22,3.72,3.58,21,Other
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,No,9.5,4.99,-4.23,22,Female
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,No,7.12,3.35,-0.5,56,Female
O100014,C16231,P227020,Home,39.19,0.0,2,Credit Card,2025-02-24,3,North,No,78.38,7.91,14.04,63,Male
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,No,40.42,6.19,5.13,36,Male
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,2024-08-25,4,West,No,91.78,3.6,23.93,47,Male
O100017,C12919,P216877,Fashion,16.0,0.0,3,PayPal,2024-09-12,5,South,No,48.0,4.48,12.32,37,Male
O100018,C17831,P218405,Electronics,310.35749999999996,0.0,2,Wallet,2025-06-20,4,South,No,392.75,10.9,83.88,58,Female
O100019,C10130,P248629,Fashion,50.52,0.0,1,Credit Card,2024-10-10,3,North,Yes,50.52,6.2,11.48,56,Male
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,No,35.98,5.56,8.83,64,Female
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,No,39.54,5.3,8.54,49,Other
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,No,128.8,7.77,7.69,41,Female
O100023,C12391,P214437,Fashion,176.45,0.0,1,Debit Card,2025-05-16,7,South,No,176.45,6.67,55.09,34,Male
O100024,C15611,P247930,Sports,310.35749999999996,0.15,2,Debit Card,2024-04-16,5,Central,No,392.75,9.48,83.88,32,Female
O100025,C17581,P214512,Beauty,12.49,0.0,3,UPI,2024-08-31,7,East,No,37.47,5.46,11.4,49,Female
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,2025-08-26,5,South,No,133.63,6.75,33.34,20,Female
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,No,22.48,6.09,1.78,60,Female
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,No,41.94,4.61,-1.25,61,Female
O100029,C15051,P243239,Home,54.42,0.0,2,UPI,2023-10-11,6,East,No,108.84,8.05,22.43,36,Female
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,2023-11-12,6,South,No,46.69,5.74,7.33,44,Male
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,2024-04-08,7,East,No,8.77,1.24,-0.54,32,Male
O100032,C14555,P238022,Grocery,7.56,0.0,1,Credit Card,2023-12-30,5,North,No,7.56,2.06,-1.46,61,Female
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,2024-08-06,4,South,No,21.21,4.26,2.1,26,Male
O100034,C14117,P204354,Grocery,12.84,0.0,2,Debit Card,2024-08-08,3,North,No,25.68,6.32,-4.27,21,Female
O100035,C16396,P231847,Beauty,8.89,0.0,2,Credit Card,2024-04-04,4,South,No,17.78,4.78,3.22,19,Female
O100036,C14843,P235284,Fashion,33.9,0.0,2,Debit Card,2025-05-27,5,South,No,67.8,4.98,18.75,28,Female
O100037,C12904,P248640,Fashion,17.92,0.0,1,Credit Card,2024-07-10,5,West,No,17.92,5.86,0.41,28,Male
O100038,C17728,P210156,Beauty,50.75,0.0,2,Credit Card,2025-02-13,7,West,No,101.5,6.46,39.22,46,Female
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,2024-08-17,6,West,No,11.14,4.4,0.61,51,Female
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,2023-12-09,4,South,No,267.88,7.49,67.52,20,Female
O100041,C12558,P223758,Grocery,6.2,0.0,1,COD,2024-03-31,4,West,No,6.2,2.5,-2.0,35,Male
O100042,C17849,P208838,Home,36.05,0.0,2,COD,2025-02-03,4,North,No,72.1,7.24,12.95,36,Female
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,2023-10-31,5,South,No,40.17,4.94,9.12,48,Male
O100044,C17643,P243790,Electronics,310.35749999999996,0.0,1,Debit Card,2024-09-27,8,Central,No,313.25,8.96,28.63,53,Male
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,2025-04-11,4,West,No,36.99,4.09,-1.13,62,Male
O100046,C10975,P249346,Toys,9.07,0.0,3,Debit Card,2024-01-11,5,South,No,27.21,6.05,4.83,30,Female
O100047,C11806,P213725,Beauty,12.45,0.0,2,Credit Card,2025-05-03,5,West,No,24.9,5.18,6.02,58,Male
O100048,C10189,P209337,Toys,7.33,0.0,1,Credit Card,2025-03-19,5,North,No,7.33,3.86,-0.93,55,Female
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,2025-03-12,5,South,No,51.16,5.96,14.5,35,Female
O100050,C12734,P229811,Grocery,16.12,0.0,1,COD,2025-07-14,8,East,No,16.12,4.76,-3.47,66,Female
O100051,C13005,P243043,Home,195.87,0.0,4,Credit Card,2024-12-31,5,West,No,392.75,10.37,83.88,43,Female
O100052,C14658,P238978,Beauty,8.29,0.0,1,PayPal,2024-09-16,4,North,No,8.29,2.98,0.75,67,Male
O100053,C11899,P229316,Electronics,310.35749999999996,0.0,2,PayPal,2024-01-24,5,South,No,392.75,9.93,83.88,40,Female
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,2023-12-29,6,East,No,18.94,4.96,-3.44,55,Female
O100055,C11267,P221514,Grocery,6.52,0.0,2,Debit Card,2023-11-23,5,South,No,13.04,4.73,-3.69,60,Male
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,2023-12-18,3,Central,No,4.84,3.91,-1.97,57,Female
O100057,C11528,P246809,Home,167.21,0.0,4,Wallet,2023-12-06,3,North,No,392.75,8.88,83.88,37,Female
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,2024-10-30,3,Central,No,114.21,6.65,25.33,53,Male
O100059,C13556,P210479,Home,122.85,0.0,3,COD,2024-08-16,4,North,No,368.55,7.27,83.88,69,Female
O100060,C13890,P211323,Fashion,14.91,0.0,1,UPI,2024-12-01,5,West,No,14.91,4.93,0.29,69,Male
O100061,C10646,P212937,Beauty,10.46,0.0,1,Credit Card,2023-11-13,4,North,No,10.46,3.14,1.57,25,Other
O100062,C16164,P223089,Electronics,310.35749999999996,0.0,1,Debit Card,2024-06-26,6,West,No,368.67,9.91,34.33,36,Male
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,2025-06-24,5,West,No,12.17,2.07,-1.1,22,Female
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,2024-01-22,4,West,No,110.7,6.97,24.03,59,Male
O100065,C15393,P233598,Grocery,20.24,0.0,1,COD,2025-06-23,5,North,No,20.24,4.74,-3.12,65,Male
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,2025-09-03,5,West,No,149.39,6.15,38.67,58,Female
O100067,C10600,P221990,Fashion,20.91,0.0,1,UPI,2024-02-14,4,North,Yes,20.91,4.04,3.28,50,Male
O100068,C12363,P232859,Fashion,13.43,0.0,4,PayPal,2023-12-15,4,South,No,53.72,6.26,12.54,30,Male
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,2023-11-22,5,East,No,3.17,3.06,-2.81,44,Female
O100070,C10241,P242871,Toys,8.5,0.0,2,Debit Card,2024-05-30,8,South,No,17.0,3.51,3.29,25,Female
O100071,C12041,P218720,Fashion,150.12,0.0,3,Debit Card,2024-10-18,4,West,No,392.75,8.26,83.88,28,Female
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,2024-09-21,6,East,No,88.16,6.72,3.86,53,Male
O100073,C17513,P231818,Sports,217.48,0.0,1,Credit Card,2025-02-24,6,South,No,217.48,7.67,57.57,24,Male
O100074,C12612,P234348,Fashion,16.18,0.0,2,Credit Card,2024-12-06,4,South,No,32.36,4.73,6.6,69,Male
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,2023-12-21,5,West,No,74.27,6.24,19.75,46,Other
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,2025-02-13,4,Central,No,32.52,5.1,4.66,31,Male
O100077,C16235,P248180,Sports,20.73,0.0,2,COD,2024-05-14,5,West,No,41.46,4.31,8.13,20,Female
O100078,C15486,P224130,Home,23.16,0.0,1,UPI,2023-12-20,3,Central,No,23.16,4.81,1.67,45,Male
O100079,C17099,P233241,Grocery,6.53,0.0,4,Credit Card,2024-06-28,3,North,No,26.12,6.21,-4.12,68,Male
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,2024-03-13,4,West,No,78.78,8.3,15.33,59,Female
O100081,C17595,P249421,Grocery,3.95,0.0,1,Wallet,2025-01-23,4,West,No,3.95,2.63,-2.31,38,Female
O100082,C12556,P226620,Fashion,137.66,0.0,1,UPI,2025-04-20,4,South,No,137.66,7.01,41.17,50,Female
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,2023-09-23,6,West,No,174.28,8.27,52.73,29,Female
O100084,C14014,P212663,Electronics,310.35749999999996,0.05,1,Debit Card,2024-06-08,4,South,No,392.75,10.44,75.41,28,Male
O100085,C10034,P217799,Fashion,12.92,0.0,3,Wallet,2025-08-04,4,South,No,38.76,6.83,6.74,20,Female
O100086,C16349,P247285,Grocery,3.04,0.0,1,Debit Card,2024-06-12,4,South,No,3.04,1.93,-1.69,59,Female
O100087,C13152,P217619,Grocery,25.7,0.1,4,Credit Card,2024-06-18,3,North,No,92.52,9.09,-1.69,32,Male
O100088,C11955,P203967,Toys,18.51,0.05,1,PayPal,2023-12-20,5,South,No,17.58,3.71,3.32,62,Female
O100089,C11585,P227488,Beauty,71.36,0.15,1,Debit Card,2024-07-05,7,South,No,60.66,5.34,21.96,34,Male
O100090,C13943,P213211,Toys,5.12,0.0,1,UPI,2025-02-09,6,West,No,5.12,1.8,0.25,59,Female
O100091,C17555,P221169,Beauty,3.65,0.0,1,UPI,2024-07-08,4,South,No,3.65,1.97,-0.33,54,Female
O100092,C13073,P230373,Electronics,310.35749999999996,0.0,3,COD,2024-08-10,4,West,No,392.75,12.41,83.88,61,Female
O100093,C11021,P232669,Home,168.01,0.05,2,Debit Card,2024-01-20,6,East,No,319.22,7.51,81.87,57,Male
O100094,C13461,P206634,Beauty,43.33,0.0,3,Debit Card,2025-07-02,4,Central,No,129.99,6.28,52.22,53,Female
O100095,C12613,P200840,Fashion,22.26,0.0,1,Wallet,2025-02-22,7,East,No,22.26,3.96,3.83,27,Male
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,No,4.89,3.77,-2.06,36,Male
O100097,C13843,P221318,Fashion,37.42,0.1,5,COD,2024-09-26,3,Central,No,168.39,8.25,50.69,29,Male
O100098,C17989,P215405,Beauty,115.85,0.15,1,Debit Card,2025-05-02,5,West,No,98.47,6.58,37.73,40,Female
O100099,C11500,P247771,Electronics,310.35749999999996,0.0,1,COD,2025-05-08,4,South,No,392.75,8.88,83.88,32,Female
O100100,C14798,P236240,Sports,17.35,0.1,1,Debit Card,2025-02-25,5,West,Yes,15.62,4.69,-0.0,41,Male
O100101,C16545,P215847,Home,37.39,0.2,1,Credit Card,2025-02-04,5,North,No,29.91,3.68,4.69,49,Male
O100102,C16873,P223547,Fashion,23.33,0.0,5,Credit Card,2025-05-02,5,Central,No,116.65,7.12,33.71,38,Male
